scope,model,protocol,reference_kind,reference_model,scenes,mean_m,median_m,p90_m,ci_low_m,ci_high_m,log_cluster_ci_low_m,log_cluster_ci_high_m
COMMON_TRAIN835,original_grpo_11970,eval,actual_previous_stage_same_sampler,official_il,835,0.4959711550417061,0.46393895149230957,0.7715262651443482,0.4822390695161627,0.5095863488691296,0.4808467842044117,0.5121518585482748
COMMON_TRAIN835,original_grpo_11970,native_grpo,official_IL_same_sampler,official_il,835,0.49511166156052117,0.46427878737449646,0.7616453528404236,0.48165047427762053,0.5082436478057664,0.4803013347388516,0.5103651734760296
COMMON_TRAIN835,original_grpo_11970,native_grpo,actual_previous_stage_same_sampler,official_il,835,0.49511166156052117,0.46427878737449646,0.7616453528404236,0.482400425437414,0.5086550636647525,0.47928441185539444,0.5107045116225171
COMMON_TRAIN835,a5_grpo_300,eval,official_IL_same_sampler,official_il,835,1.4712196935972053,1.0489057302474976,3.38979344367981,1.386748081489862,1.5557270272566885,1.3699783342184602,1.579431060541525
COMMON_TRAIN835,a5_grpo_300,eval,actual_previous_stage_same_sampler,a5_sft,835,1.5514470629572512,1.2163691520690918,3.5083482742309573,1.4637421537592206,1.6356209791447232,1.4464796559004371,1.6700902946747664
COMMON_TRAIN835,a5_grpo_300,native_grpo,official_IL_same_sampler,official_il,835,1.631373175657438,1.2549200057983398,3.540215539932251,1.5490221519795007,1.716548401011589,1.5256854109995575,1.7379173196743387
COMMON_TRAIN835,a5_grpo_300,native_grpo,actual_previous_stage_same_sampler,a5_sft,835,1.6500075255548525,1.3560445308685303,3.4838528633117676,1.5647301910363673,1.736370903150831,1.5475407606858105,1.7568430305402611
COMMON_TRAIN835,a5_grpo_4842,eval,official_IL_same_sampler,official_il,835,1.8249186215108026,1.5932824611663818,3.6037643432617186,1.7404402648940862,1.9132715354585452,1.7174283111029327,1.936791178890551
COMMON_TRAIN835,a5_grpo_4842,eval,actual_previous_stage_same_sampler,a5_sft,835,1.9061544986832106,1.7645095586776733,3.8168197631835943,1.8152171590942108,2.0011758958181916,1.79506955246222,2.021197089950179
COMMON_TRAIN835,a5_grpo_4842,native_grpo,official_IL_same_sampler,official_il,835,1.8972738346118414,1.6635260581970215,3.7130861282348637,1.809497574897494,1.98730743479229,1.7888199180701205,2.0155761989782817
COMMON_TRAIN835,a5_grpo_4842,native_grpo,actual_previous_stage_same_sampler,a5_sft,835,1.9075507217248577,1.772991418838501,3.7732070446014405,1.823566186965895,1.9949269814177524,1.8030319207695547,2.025497033069696
COMMON_TRAIN835,v6_grpo_300,eval,official_IL_same_sampler,official_il,835,0.5168270340490484,0.442039430141449,0.9407958149909973,0.4962309086693083,0.5391027962543561,0.49482951169952494,0.5386244291126752
COMMON_TRAIN835,v6_grpo_300,eval,actual_previous_stage_same_sampler,v6_sft,835,0.5091459936144466,0.5005766153335571,0.9014789581298829,0.49053738135777547,0.5266063551254526,0.48918310806704307,0.5287307636809351
COMMON_TRAIN835,v6_grpo_300,native_grpo,official_IL_same_sampler,official_il,835,0.620094253096038,0.5562469959259033,1.0640158653259277,0.5984266054335826,0.6433121148113183,0.5973377953642208,0.6431309285252509
COMMON_TRAIN835,v6_grpo_300,native_grpo,actual_previous_stage_same_sampler,v6_sft,835,0.593588053133941,0.5965868234634399,0.9856054663658143,0.574522677739569,0.6133190923720085,0.5737088621574638,0.614899576148031
COMMON_TRAIN835,v6_grpo_3300,eval,official_IL_same_sampler,official_il,835,0.9726157686176771,1.0041860342025757,1.5467402458190918,0.9417728732116967,1.0041594662718074,0.9401601184381857,1.006504703652825
COMMON_TRAIN835,v6_grpo_3300,eval,actual_previous_stage_same_sampler,v6_sft,835,1.0352131916488894,1.1484837532043457,1.5711092710494996,1.001364775454949,1.0675366197588358,1.0003539100844516,1.0736592763857922
COMMON_TRAIN835,v6_grpo_3300,native_grpo,official_IL_same_sampler,official_il,835,0.9938088432578983,1.0146102905273438,1.5635533332824707,0.9636314656799604,1.0226643021587662,0.9626496010328078,1.025630716888764
COMMON_TRAIN835,v6_grpo_3300,native_grpo,actual_previous_stage_same_sampler,v6_sft,835,1.0308331418882855,1.1233335733413696,1.5510986566543579,1.0013245868215805,1.0609314473357587,0.9986666550806077,1.064830163410954
