grouping,G,metric,scenes,mean_difference,median_difference,ci_low,ci_high,log_ci_low,log_ci_high,scene_win_fraction,scene_tie_fraction,bootstrap_sign_tail,holm_primary_bootstrap_sign_tail
prefix,8,TTC_std,5000,-0.024323294754958306,0.0,-0.028386425792071006,-0.020326574032021958,-0.028428899075769697,-0.020042935224516105,0.112,0.6676,0.0006664445184938354,
prefix,8,TTC_P10,5000,0.056660000000000016,0.0,0.04858000000000001,0.064601,0.047693157830905074,0.06524618176731942,0.1438,0.7976,0.0006664445184938354,
prefix,8,TTC_P50,5000,0.0454,0.0,0.0389,0.0522,0.03807363878897298,0.05261023738385265,0.0892,0.8882,0.0006664445184938354,
prefix,8,TTC_P90,5000,0.005040000000000001,0.0,0.001980000000000001,0.007940000000000003,0.0016971460990935945,0.008315801130921226,0.0138,0.9788,0.0026657780739753416,
prefix,8,TTC_all_pass,5000,0.0428,0.0,0.0334,0.0522,0.0326687927349716,0.05243420968933154,0.0786,0.8856,0.0006664445184938354,
prefix,8,TTC_all_fail,5000,0.0,0.0,-0.002,0.0022,-0.0022087186606438713,0.0020594143100068608,0.0026,0.9948,1.0,
prefix,8,TTC_mixed,5000,-0.0428,0.0,-0.0526,-0.0332,-0.05221887982533281,-0.03255483805742627,0.0384,0.8804,0.0006664445184938354,
prefix,8,TTC_headroom,5000,-0.0366,0.0,-0.0406,-0.03255,-0.041009221760655246,-0.032046756582905504,0.0936,0.6526,0.0006664445184938354,
prefix,8,covariance_adv_TTC,5000,-0.008735713211591611,0.0,-0.012110571058788742,-0.005479968737505317,-0.012027880566544013,-0.005363059976782417,0.2288,0.497,0.0006664445184938354,
prefix,8,negative_adv_TTC_association,5000,-0.006,0.0,-0.0098,-0.002,-0.009972776226565616,-0.0018695083507474306,0.0068,0.9804,0.003998667110963012,
prefix,8,positive_TTC_failure_rate,2003,-0.04807253405605877,0.0,-0.05900258433795112,-0.03696643390175717,-0.059767558951099704,-0.03598968308381663,0.1163255117324014,0.6640039940089866,0.0006664445184938354,
prefix,8,TTC_positive_mean,4889,0.022692341407825146,0.0,0.018653295545590805,0.026705230813263432,0.017958406470561555,0.027379058893558492,0.10329310697484148,0.8570259766823481,0.0006664445184938354,
prefix,8,Comfort_mean,5000,0.015075,0.0,0.012175,0.01815,0.012131984576984212,0.01810779648983724,0.2608,0.5562,0.0006664445184938354,
prefix,8,Comfort_min,5000,0.0158,0.0,0.009,0.0226,0.009169717463738907,0.022567200833918315,0.0376,0.9406,0.0006664445184938354,
prefix,8,Comfort_max,5000,0.0002,0.0,0.0,0.0006,0.0,0.0006164088124747527,0.0002,0.9998,0.7204265244918361,
prefix,8,Comfort_std,5000,-0.010012281937658704,0.0,-0.013016752766869455,-0.006978857759395577,-0.01296365347413521,-0.007099612213754777,0.189,0.5658,0.0006664445184938354,
prefix,8,Comfort_P10,5000,0.0242,0.0,0.01624,0.0321805,0.01669723483406614,0.0319419115141735,0.1082,0.818,0.0006664445184938354,
prefix,8,Comfort_P50,5000,0.0155,0.0,0.0094,0.0215,0.009510721588463195,0.021582567594585152,0.0876,0.849,0.0006664445184938354,
