partition,protocol,model,metric,n,mean,median,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,positive_fraction,negative_fraction,tie_fraction
FULL64,eval,official_il,center_shift_m,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FULL64,eval,official_il,feasible_rate,1000,93.9515625,100.0,92.5468359375,95.246875,92.62059706237717,95.32244460463939,0.963,0.0,0.037
FULL64,eval,official_il,mean_PDMS,1000,92.17669863814972,95.36497287867815,91.31375451642779,93.00520706533334,91.24478903390174,93.0253121236282,0.991,0.0,0.009
FULL64,eval,original_grpo_11970,pairwise_ADE,1000,0.17028789751511067,0.16851831041276455,0.16849938088487834,0.17211098958905788,0.16847162454538703,0.1722422751887604,1.0,0.0,0.0
FULL64,eval,original_grpo_11970,center_shift_m,1000,0.49914172854274513,0.4671557694673538,0.48650873132012784,0.5125136430051178,0.48487636609918205,0.5136209450352653,1.0,0.0,0.0
FULL64,eval,original_grpo_11970,feasible_rate,1000,94.6046875,100.0,93.21390625,95.912578125,93.12632392734164,96.01396355916678,0.962,0.0,0.038
FULL64,eval,original_grpo_11970,mean_PDMS,1000,95.05681631343559,98.36614597260942,94.36463306952439,95.67131395352543,94.2615017527311,95.75912558866038,0.992,0.0,0.008
FULL64,eval,psi_sft,pairwise_ADE,1000,0.30701064643636344,0.2933055330067873,0.30312612727535887,0.3107898501412012,0.3027058261048009,0.31153342991610106,1.0,0.0,0.0
FULL64,eval,psi_sft,center_shift_m,1000,0.44111512845009565,0.40447084605693817,0.4254513953682966,0.45707968671908605,0.4233345293026665,0.4603230064324492,1.0,0.0,0.0
FULL64,eval,psi_sft,feasible_rate,1000,91.871875,100.0,90.3655859375,93.2984375,90.40362956194951,93.30189555287863,0.969,0.0,0.031
FULL64,eval,psi_sft,mean_PDMS,1000,92.60146978191746,96.81173239782217,91.67064418690525,93.5070858900311,91.59754664684573,93.50858085501679,0.993,0.0,0.007
FULL64,native_grpo,official_il,pairwise_ADE,1000,1.995544300764799,1.9975860714912415,1.9923444935031236,1.9986651508159936,1.9924172194365763,1.9987155652076585,1.0,0.0,0.0
FULL64,native_grpo,official_il,center_shift_m,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FULL64,native_grpo,official_il,feasible_rate,1000,69.0859375,73.4375,67.471796875,70.598515625,67.33258703320327,70.69998429367566,0.985,0.0,0.015
FULL64,native_grpo,official_il,mean_PDMS,1000,69.22866064523298,73.4836458670223,68.05022298225563,70.41052545968775,67.98401063897947,70.52235510031191,0.998,0.0,0.002
FULL64,native_grpo,original_grpo_11970,pairwise_ADE,1000,1.9950876265764237,1.9984706044197083,1.9915761739946902,1.998667360997945,1.9915092503232539,1.9983499989832,1.0,0.0,0.0
FULL64,native_grpo,original_grpo_11970,center_shift_m,1000,0.4981897150427103,0.4693101942539215,0.4857843409493565,0.5103873567055911,0.4841182057519599,0.5129345111838822,1.0,0.0,0.0
FULL64,native_grpo,original_grpo_11970,feasible_rate,1000,77.0484375,84.375,75.63562499999999,78.50179687500001,75.34869146164755,78.6110639634494,0.986,0.0,0.014
FULL64,native_grpo,original_grpo_11970,mean_PDMS,1000,79.05744500932045,83.21827368000521,78.12344159028024,79.92997867249261,77.94191831499838,80.10590372742303,0.999,0.0,0.001
