model,protocol,split,metric,mean,low,high,scenes,logs
a5_sft,deployment,confirmation,mixed_feasible,0.017578125,0.003921185661764706,0.03409090909090909,256,174
a5_sft,deployment,confirmation,all_feasible,0.982421875,0.9645829232283465,0.9961389961389961,256,174
a5_sft,deployment,confirmation,all_full_pdms,0.423828125,0.35907088407088406,0.4863307745881783,256,174
a5_sft,deployment,confirmation,all_ep_saturated,0.427734375,0.3608753360215054,0.49239967772485055,256,174
a5_sft,deployment,confirmation,all_components_identical,0.42578125,0.360459393883904,0.48876819105269703,256,174
a5_sft,deployment,confirmation,ep_only_components,0.5625,0.49788938990601406,0.6269539000496032,256,174
a5_sft,deployment,confirmation,ep_only_identical_gates,0.06640625,0.03799765342960289,0.09808315899581592,256,174
a5_sft,deployment,confirmation,positive_mass,0.45918595790863037,0.3605791373343014,0.5625196071541934,256,174
a5_sft,deployment,confirmation,ep_only_strict_mass,0.0,0.0,0.0,256,174
a5_sft,deployment,confirmation,ep_only_components_mass,0.4280954897403717,0.336099559009352,0.5286650438321085,256,174
a5_sft,deployment,confirmation,information_active,0.50390625,0.4385182655332929,0.5671649165240988,256,174
a5_sft,deployment,confirmation,positive_count,3.1640625,2.620975301039956,3.726360830527497,256,174
a5_sft,deployment,confirmation,feasible_comparison,1.0,1.0,1.0,256,174
a5_sft,deployment,confirmation,positive_ep_up_safety_or_comfort_down_vs_reference_count,0.0,0.0,0.0,256,174
a5_sft,deployment,confirmation,positive_ep_up_safety_or_comfort_down_vs_reference_mass,0.0,0.0,0.0,256,174
a5_sft,deployment,confirmation,positive_weighted_raw_progress_shift,0.4137998718957332,0.26457782632134796,0.5906938655979854,205,149
a5_sft,deployment,confirmation,positive_weighted_end_speed_shift,0.1673460810110836,0.0968864911185735,0.2590041668827415,205,149
a5_sft,deployment,confirmation,shadow_fixed_mass,0.03050330803482104,9.416676336731833e-08,0.08542951142371148,256,174
a5_sft,deployment,confirmation,shadow_fixed_positive_disappeared,0.41015625,0.3447546507518314,0.4870016263940521,256,174
a5_sft,deployment,confirmation,shadow_fixed_positive_flipped,0.294921875,0.24339240183579808,0.34808226495726496,256,174
a5_sft,deployment,confirmation,shadow_fixed_information_active,0.01171875,0.0037593984962406013,0.021074823165340414,256,174
a5_sft,deployment,confirmation,shadow_fixed_rank_changed,0.56640625,0.5061469136835062,0.6314818246394268,256,174
a5_sft,deployment,confirmation,shadow_fixed_spearman,0.8280738320864489,0.6958320922623014,0.9477986936032001,8,8
a5_sft,deployment,confirmation,shadow_full_mass,0.08254825696349144,0.0,0.18633787214043615,256,174
a5_sft,deployment,confirmation,shadow_full_positive_disappeared,2.33984375,1.955658319387999,2.7537677277512853,256,174
a5_sft,deployment,confirmation,shadow_full_positive_flipped,0.15234375,0.11283707820373796,0.19696969696969696,256,174
a5_sft,deployment,confirmation,shadow_full_information_active,0.0078125,0.0,0.01859504132231405,256,174
a5_sft,deployment,confirmation,shadow_full_rank_changed,0.568359375,0.5019918342503004,0.6312842627251024,256,174
a5_sft,deployment,confirmation,shadow_full_spearman,0.7801628835788741,0.6531779854699781,0.9027033669356472,8,8
a5_sft,native_grpo,calibration,all_infeasible,0.0,0.0,0.0,256,162
a5_sft,native_grpo,calibration,mixed_feasible,0.078125,0.051469831759864436,0.10816326530612246,256,162
a5_sft,native_grpo,calibration,all_feasible,0.921875,0.8918299729530367,0.9491183711491117,256,162
a5_sft,native_grpo,calibration,all_full_pdms,0.287109375,0.232942489936263,0.34241513220380526,256,162
a5_sft,native_grpo,calibration,all_ep_saturated,0.302734375,0.2451708837578403,0.36041666666666666,256,162
a5_sft,native_grpo,calibration,all_components_identical,0.283203125,0.22726434082522642,0.3406419221074884,256,162
a5_sft,native_grpo,calibration,ep_only_components,0.65625,0.6015023972975918,0.7117029338153504,256,162
a5_sft,native_grpo,calibration,ep_only_identical_gates,0.02734375,0.011951005501802314,0.046516152384399614,256,162
a5_sft,native_grpo,calibration,positive_mass,1.7218871116638184,1.4256927408737743,2.0756484377761777,256,162
a5_sft,native_grpo,calibration,ep_only_strict_mass,0.0,0.0,0.0,256,162
a5_sft,native_grpo,calibration,ep_only_components_mass,1.430300235748291,1.2323808842775164,1.629601473687971,256,162
a5_sft,native_grpo,calibration,information_active,0.677734375,0.6210905997983871,0.7316602316602316,256,162
a5_sft,native_grpo,calibration,positive_count,3.322265625,2.765381679389313,3.8707252059569073,256,162
a5_sft,native_grpo,calibration,feasible_comparison,1.0,1.0,1.0,256,162
a5_sft,native_grpo,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_count,0.0,0.0,0.0,256,162
a5_sft,native_grpo,calibration,positive_ep_up_safety_or_comfort_down_vs_reference_mass,0.0,0.0,0.0,256,162
a5_sft,native_grpo,calibration,positive_weighted_raw_progress_shift,1.1259470674480063,0.9452190729597255,1.3275602993391078,229,148
a5_sft,native_grpo,calibration,positive_weighted_end_speed_shift,0.4288372255282128,0.3538906734523599,0.5169199979919151,229,148
a5_sft,native_grpo,calibration,shadow_fixed_mass,0.2778184684969643,0.055831797330385555,0.5736265695490421,256,162
a5_sft,native_grpo,calibration,shadow_fixed_positive_disappeared,0.470703125,0.39597938344463424,0.5627436290018286,256,162
a5_sft,native_grpo,calibration,shadow_fixed_positive_flipped,0.365234375,0.29455663056985626,0.4506134883423214,256,162
a5_sft,native_grpo,calibration,shadow_fixed_information_active,0.0625,0.03977213294028147,0.0883491522014914,256,162
a5_sft,native_grpo,calibration,shadow_fixed_rank_changed,0.66015625,0.601584776596095,0.7180466598595254,256,162
a5_sft,native_grpo,calibration,shadow_fixed_spearman,0.7515434688505329,0.6647627954701769,0.8361123840045472,38,35
a5_sft,native_grpo,calibration,shadow_full_mass,0.3697437848895788,0.09669993600423865,0.7295977324836339,256,162
a5_sft,native_grpo,calibration,shadow_full_positive_disappeared,2.736328125,2.2637487459337855,3.2234977272727274,256,162
a5_sft,native_grpo,calibration,shadow_full_positive_flipped,0.578125,0.37547422178988327,0.7907183681513599,256,162
a5_sft,native_grpo,calibration,shadow_full_information_active,0.021484375,0.007781347087744699,0.03876008542952065,256,162
a5_sft,native_grpo,calibration,shadow_full_rank_changed,0.66796875,0.6090425162990706,0.7243613138686131,256,162
a5_sft,native_grpo,calibration,shadow_full_spearman,0.6691716978597627,0.5771911685592961,0.7632449172513139,38,35
a5_sft,native_grpo,confirmation,all_infeasible,0.0,0.0,0.0,256,174
a5_sft,native_grpo,confirmation,mixed_feasible,0.05078125,0.028337224108658746,0.07547266076241818,256,174
a5_sft,native_grpo,confirmation,all_feasible,0.94921875,0.9251010250344963,0.9726277372262774,256,174
a5_sft,native_grpo,confirmation,all_full_pdms,0.384765625,0.32321377648017385,0.4479565055762082,256,174
a5_sft,native_grpo,confirmation,all_ep_saturated,0.396484375,0.33478168754605747,0.46108949416342415,256,174
a5_sft,native_grpo,confirmation,all_components_identical,0.384765625,0.32341269841269843,0.44628137434955617,256,174
a5_sft,native_grpo,confirmation,ep_only_components,0.576171875,0.5117164789244186,0.638769579050416,256,174
a5_sft,native_grpo,confirmation,ep_only_identical_gates,0.02734375,0.011537356321839082,0.047520857555855826,256,174
a5_sft,native_grpo,confirmation,positive_mass,1.3087410926818848,1.1059623466831427,1.5135694623019078,256,174
a5_sft,native_grpo,confirmation,ep_only_strict_mass,0.0,0.0,0.0,256,174
a5_sft,native_grpo,confirmation,ep_only_components_mass,1.1696476936340332,0.9793524448277237,1.3710398540139643,256,174
a5_sft,native_grpo,confirmation,information_active,0.58203125,0.5176470588235295,0.6413954282628034,256,174
a5_sft,native_grpo,confirmation,positive_count,4.287109375,3.6752913346613543,4.927747982838115,256,174
a5_sft,native_grpo,confirmation,feasible_comparison,1.0,1.0,1.0,256,174
a5_sft,native_grpo,confirmation,positive_ep_up_safety_or_comfort_down_vs_reference_count,0.0,0.0,0.0,256,174
a5_sft,native_grpo,confirmation,positive_ep_up_safety_or_comfort_down_vs_reference_mass,0.0,0.0,0.0,256,174
a5_sft,native_grpo,confirmation,positive_weighted_raw_progress_shift,0.9858414298599205,0.7931796651361116,1.196741354187006,230,156
a5_sft,native_grpo,confirmation,positive_weighted_end_speed_shift,0.3727749660378433,0.2872233698950535,0.4729283203609429,230,156
a5_sft,native_grpo,confirmation,shadow_fixed_mass,0.13423984014122853,0.049336683894533835,0.23608377084852844,256,174
a5_sft,native_grpo,confirmation,shadow_fixed_positive_disappeared,0.673828125,0.4835652853491022,0.8939393939393939,256,174
a5_sft,native_grpo,confirmation,shadow_fixed_positive_flipped,0.546875,0.37858347688774047,0.753579042081949,256,174
a5_sft,native_grpo,confirmation,shadow_fixed_information_active,0.0546875,0.034882529546321005,0.07706110033147386,256,174
a5_sft,native_grpo,confirmation,shadow_fixed_rank_changed,0.580078125,0.5167240118631096,0.6428571428571429,256,174
a5_sft,native_grpo,confirmation,shadow_fixed_spearman,0.7813318256171331,0.6865834305877364,0.8694220540352077,26,25
a5_sft,native_grpo,confirmation,shadow_full_mass,0.3781020399183035,0.1255528457505079,0.7228883922031875,256,174
a5_sft,native_grpo,confirmation,shadow_full_positive_disappeared,3.546875,2.963015747742457,4.122616401760058,256,174
a5_sft,native_grpo,confirmation,shadow_full_positive_flipped,0.48046875,0.2944437582345191,0.6988296282043692,256,174
a5_sft,native_grpo,confirmation,shadow_full_information_active,0.02734375,0.011672020631617049,0.045098039215686274,256,174
a5_sft,native_grpo,confirmation,shadow_full_rank_changed,0.591796875,0.5289256198347108,0.6535652549697494,256,174
a5_sft,native_grpo,confirmation,shadow_full_spearman,0.6937287998178927,0.567182561182134,0.804798017977916,26,25
