source,split,selector,comparator,metric,mean,low,high,scenes,logs
native_within_group,confirmation,D,A,evaluation_end_speed,0.0009893184816830753,-0.0012105065151115897,0.003686388511302679,100,82
native_within_group,confirmation,D,A,evaluation_PDMS,0.0053125,0.0009375,0.01118421052631579,100,82
native_within_group,confirmation,D,B,evaluation_risk,-0.0053125,-0.010732323232323232,-0.0009372679455445536,100,82
native_within_group,confirmation,D,B,selection_risk,-0.0065625,-0.012376237623762377,-0.0016108247422680412,100,82
native_within_group,confirmation,D,B,evaluation_NC_fail,-0.001875,-0.005208333333333333,0.0,100,82
native_within_group,confirmation,D,B,selection_NC_fail,-0.00125,-0.0031565656565656565,0.0,100,82
native_within_group,confirmation,D,B,evaluation_DAC_fail,-0.00375,-0.00837666153589156,-0.00031887755102040814,100,82
native_within_group,confirmation,D,B,selection_DAC_fail,-0.005625,-0.011363636363636364,-0.0011901954177897566,100,82
native_within_group,confirmation,D,B,evaluation_TTC_fail,-0.001875,-0.0053125,0.0,100,82
native_within_group,confirmation,D,B,selection_TTC_fail,-0.0015625,-0.0040225267486426065,0.0,100,82
native_within_group,confirmation,D,B,evaluation_hard_fail,-0.0053125,-0.010937902706185566,-0.0009763108086340198,100,82
native_within_group,confirmation,D,B,selection_hard_fail,-0.00625,-0.012136727811667669,-0.0015625,100,82
native_within_group,confirmation,D,B,nominal_PDMS,0.0,0.0,0.0,100,82
native_within_group,confirmation,D,B,nominal_raw_progress,-0.0009157566946838891,-0.0034993136242930725,0.0011039669818484817,100,82
native_within_group,confirmation,D,B,nominal_end_speed,0.0009983101599170658,-0.0012210512428575625,0.0035570997236843574,100,82
native_within_group,confirmation,D,B,nominal_EP,0.0,0.0,0.0,100,82
native_within_group,confirmation,D,B,evaluation_raw_progress,-0.0019760870148269926,-0.004454498232633935,-0.0003017666778821389,100,82
native_within_group,confirmation,D,B,evaluation_end_speed,0.0009893184816830753,-0.00125434848137851,0.0036020001626516614,100,82
native_within_group,confirmation,D,B,evaluation_PDMS,0.0053125,0.0009372679455445545,0.0107232713161022,100,82
