protocol,rule,partition,condition,selected_scenes,mean_margin,passes,interpretation
native_grpo,practical,FULL64,PSI_feasible_gain_min,183,6.489071038251122e-05,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,PSI_feasible_gain_larger,183,0.00010997267759562753,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,RL_center_small,183,0.024925449506832602,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,PSI_center_larger,183,6.252949029370181e-05,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,RL_ADE_not_up,183,0.0026306866622361727,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,FULL64,PSI_ADE_up,183,0.2417232031770091,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,RL_PDMS_gain_min,183,3.7988498022800865,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,PSI_PDMS_gain_min,183,0.9770039290894553,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,PSI_PDMS_gain_max,183,-0.07700392908945541,False,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,RL_feasible_gain_min,183,0.014539617486338802,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,RL_feasible_gain_max,183,0.004460382513661207,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,PSI_feasible_gain_min,183,0.0016871584699453528,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,PSI_feasible_gain_larger,183,0.005147540983606556,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,RL_center_small,183,0.024677412309607523,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,PSI_center_larger,183,0.012210406611363106,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,RL_ADE_not_up,183,0.0020178413130546528,True,descriptive_only_selection_used_FULL64_including_both_halves
native_grpo,practical,A,PSI_ADE_up,183,0.238726923283332,True,descriptive_only_selection_used_FULL64_including_both_halves
