variant,pool_type,comparator,metric,full_scene_denominator,pc_defined_scenes,baseline_defined_scenes,n,mean_difference,median_difference,ci_low,ci_high,median_ci_low,median_ci_high,scene_win_fraction,p_value,bootstrap_replicates,cluster_count,log_cluster_ci_low,log_cluster_ci_high,log_cluster_count,Holm_p_primary_family12
no_il_native,operational,score,mean_candidate_p_B_quality,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,score,QualityMatchedPoolMass,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,score,external_source_fraction,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,score,near_duplicate_representatives_0_10m,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,score,fallback_fraction,1000,1000,1000,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0003332222592469177,3000,1000,1.0,1.0,512,
no_il_native,operational,pareto,mean_candidate_p_B,1000,1000,1000,1000,1.220703125e-07,0.0,-1.220703125e-07,5.4931640625e-07,0.0,0.0,0.001,0.6414528490503165,3000,1000,-1.7744503930816498e-07,5.698450900420391e-07,512,
no_il_native,operational,pareto,PoolMass,1000,1000,1000,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3000,1000,0.0,0.0,512,
no_il_native,operational,pareto,candidate_PDMS,1000,1000,1000,1000,0.9425560701043509,0.0,0.717067940486433,1.2017309639304534,0.0,0.0,0.143,0.0003332222592469177,3000,1000,0.7120420338819782,1.185298286496355,512,
no_il_native,operational,pareto,strict_16_scene_fraction,1000,1000,1000,1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0003332222592469177,3000,1000,-1.0,-1.0,512,
no_il_native,operational,pareto,conservative_feasible_fraction,1000,1000,1000,1000,-0.0084375,0.0,-0.017125,0.0008125,0.0,0.0,0.067,0.06464511829390203,3000,1000,-0.017810897368045007,0.0007899281939939328,512,
