stage,step,method,metric,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
F,0,score,zero_score_rate,300,-0.002890625,0.0,-0.008414713541666665,0.0019016927083333357,0.0,0.0,0.016666666666666666
F,0,pareto,zero_score_rate,300,-0.0005989583333333333,0.0,-0.0059375,0.004688151041666669,0.0,0.0,0.023333333333333334
F,0,gt_distance,zero_score_rate,300,0.00028645833333333333,0.0,-0.0025520833333333333,0.0031510416666666666,0.0,0.0,0.02
F,0,old_pc,zero_score_rate,300,-0.001484375,0.0,-0.005833333333333334,0.00171875,0.0,0.0,0.016666666666666666
F,10,gt_only,PDMS,300,1.1364001684378495,0.0,0.13734559938441934,2.129385868498911,0.0,0.007524656210058822,0.44666666666666666
F,10,score,PDMS,300,-1.0595240831668356,0.0,-2.2403403816043803,0.12708706146862325,0.0,0.0,0.44
F,10,pareto,PDMS,300,0.29288603662249957,0.0,-0.8311280153441697,1.4008639355707146,0.0,0.0015731512970091899,0.44333333333333336
F,10,gt_distance,PDMS,300,-1.311290848243695,0.0,-2.6177667016985517,-0.03850597779025145,-0.024780052156046395,0.0,0.3433333333333333
F,10,old_pc,PDMS,300,5.222955227115504,0.4232843664422212,3.774452028855735,6.723980950839408,0.21655172214752816,0.6648257998464544,0.6366666666666667
F,10,gt_only,feasible_rate,300,0.004713541666666667,0.0,-0.007474609375,0.016692708333333334,0.0,0.0,0.19
F,10,score,feasible_rate,300,-0.031536458333333336,0.0,-0.04671940104166667,-0.01697656249999999,0.0,0.0,0.17333333333333334
F,10,pareto,feasible_rate,300,-0.005442708333333333,0.0,-0.019480468749999997,0.009115885416666672,0.0,0.0,0.23333333333333334
F,10,gt_distance,feasible_rate,300,-0.031041666666666665,0.0,-0.046641276041666666,-0.015051432291666665,0.0,0.0,0.13333333333333333
F,10,old_pc,feasible_rate,300,0.05291666666666667,0.0,0.035544921874999996,0.07120117187500001,0.0,0.0,0.30666666666666664
F,10,gt_only,hard_failure,300,-0.01140625,0.0,-0.0225,-0.000858723958333331,0.0,0.0,0.12333333333333334
F,10,score,hard_failure,300,0.010833333333333334,0.0,-0.001745442708333333,0.023359375,0.0,0.0,0.16
F,10,pareto,hard_failure,300,-0.0009895833333333334,0.0,-0.013359375,0.011692708333333333,0.0,0.0,0.12666666666666668
F,10,gt_distance,hard_failure,300,0.008385416666666666,0.0,-0.005208333333333333,0.0209375,0.0,0.0,0.17666666666666667
F,10,old_pc,hard_failure,300,-0.050104166666666665,0.0,-0.066875,-0.03453059895833333,0.0,0.0,0.05
F,10,gt_only,EP,300,0.01266972095667906,0.0,0.0029132166070747283,0.02294186512626862,0.0,0.0003421338124043882,0.4533333333333333
F,10,score,EP,300,-0.0016543119391860786,0.0,-0.012877369489308383,0.008904830906954,0.0,0.0,0.42
F,10,pareto,EP,300,0.004444540901219769,0.0,-0.0067301096652376555,0.015669095180421727,0.0,0.0,0.4
F,10,gt_distance,EP,300,-0.006815544261409648,0.0,-0.01884632525325269,0.005505393328734598,0.0,0.0,0.32666666666666666
F,10,old_pc,EP,300,0.05161303178614739,0.00830712541152423,0.03712146875175771,0.06709085764902845,0.0040272882850979075,0.011208632141635255,0.6433333333333333
F,10,gt_only,TTC,300,0.0022395833333333334,0.0,-0.004036458333333334,0.0084375,0.0,0.0,0.11333333333333333
F,10,score,TTC,300,-0.007109375,0.0,-0.017111328125,0.0026569010416666694,0.0,0.0,0.09666666666666666
F,10,pareto,TTC,300,0.007317708333333333,0.0,-0.002188151041666667,0.017109375,0.0,0.0,0.13666666666666666
F,10,gt_distance,TTC,300,-0.013098958333333334,0.0,-0.023385416666666665,-0.002734375,0.0,0.0,0.08
F,10,old_pc,TTC,300,0.0153125,0.0,0.003306640625,0.027317708333333333,0.0,0.0,0.16
F,10,gt_only,zero_score_rate,300,-0.011953125,0.0,-0.023074218749999997,-0.001404947916666662,0.0,0.0,0.10333333333333333
F,10,score,zero_score_rate,300,0.009010416666666667,0.0,-0.0032819010416666665,0.021563151041666666,0.0,0.0,0.14666666666666667
F,10,pareto,zero_score_rate,300,-0.0016145833333333333,0.0,-0.014767578124999998,0.010808593750000005,0.0,0.0,0.11666666666666667
F,10,gt_distance,zero_score_rate,300,0.00546875,0.0,-0.008126953125,0.018464843750000005,0.0,0.0,0.15666666666666668
F,10,old_pc,zero_score_rate,300,-0.04994791666666667,0.0,-0.06536653645833333,-0.03463346354166666,0.0,0.0,0.04
F,50,gt_only,PDMS,300,1.3889259687602022,0.0,0.44252162610082263,2.3695648235450597,-0.04055022772796235,0.0,0.31
