method,step,metric,contrast,n,mean,median,ci_low,ci_high,median_ci_low,median_ci_high,win_fraction
gt_distance,100,pairwise_ADE,conditional_minus_baseline,300,0.020481885446139932,0.021007609812225547,0.017888129270457347,0.023014017301293117,0.0167794078848042,0.02354410950243542,0.82
gt_distance,100,Spread_AUC,conditional_minus_baseline,300,0.01591782931111656,0.01592838547096606,0.013828775266187657,0.018094631534386427,0.01263018930691693,0.018755581335994552,0.8166666666666667
gt_distance,100,spread_ratio_IL,conditional_minus_baseline,300,0.12686076259641604,0.13159359003234694,0.1067460928920429,0.14638025966334461,0.1042151597391805,0.1476984615131487,0.8166666666666667
gt_distance,100,center_shift,conditional_minus_baseline,300,0.05226218438396851,0.060222651809453964,0.03538647911169877,0.06904159943728398,0.04863312840461731,0.07708723843097687,0.67
gt_distance,100,mean_center_shift,conditional_minus_baseline,300,0.05123985428363085,0.06011258810758591,0.033191932330528896,0.06841389215582361,0.04085485637187958,0.072419673204422,0.6733333333333333
gt_distance,100,CRN_policy_change_ADE,conditional_minus_baseline,300,0.03734964144726594,0.030438244342803955,0.020685853198791543,0.054141463292141756,0.01053503155708313,0.04870639741420746,0.5966666666666667
gt_distance,100,D_positive,conditional_minus_baseline,300,0.004871165951093038,0.0,-0.0007528596535945932,0.010698783001552028,0.0,0.0,0.3233333333333333
gt_distance,100,positive_count,conditional_minus_baseline,300,-1.4266666666666667,0.0,-2.401791666666667,-0.4732916666666665,0.0,0.0,0.15333333333333332
gt_distance,100,IL_retention_loss,conditional_minus_baseline,300,0.0007586308752388504,0.0006075079352285684,0.00038760710603287404,0.0011493212723781502,0.0004406163145631581,0.0008020995280844545,0.6633333333333333
gt_distance,100,candidate_fitting_loss,conditional_minus_baseline,300,-0.0026125437195802766,-0.0008745660816202872,-0.00389420843467704,-0.0015225895863249664,-0.0012886635031463811,-0.0005450481407933694,0.36666666666666664
gt_distance,100,Hit1,conditional_minus_baseline,300,-0.016979166666666667,0.0,-0.029870442708333333,-0.0046875,0.0,0.0,0.12
gt_distance,100,Hit8,conditional_minus_baseline,300,-0.010397395159336636,0.0,-0.025151538804431613,0.0046746939785636795,0.0,0.0,0.12
gt_distance,100,Hit16,conditional_minus_baseline,300,-0.007338393114889303,0.0,-0.02416918164321829,0.009331065229801986,0.0,0.0,0.11333333333333333
gt_distance,100,Hit64,conditional_minus_baseline,300,-0.0016666666666666668,0.0,-0.023333333333333334,0.021666666666666667,0.0,0.0,0.056666666666666664
old_pc,100,PDMS,conditional_minus_baseline,300,-0.953768866380375,0.0,-1.6810857840980102,-0.25808603234827276,0.0,0.0,0.39
