analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
teacher:il_sft:ALL,holdout,native_grpo,score,official_il,Mass64_0p5,5000,-6.25e-06,0.0,-2.34375e-05,9.375e-06,-2.4317954370775084e-05,1.0022361116712411e-05,0.0008,0.9982,991
teacher:il_sft:ALL,holdout,native_grpo,score,official_il,Hit64_1p0,5000,-0.4355,-0.5,-0.4497,-0.4211,-0.4545741807865452,-0.41656106190708797,0.0306,0.4662,991
teacher:il_sft:ALL,holdout,native_grpo,score,official_il,Mass64_1p0,5000,-0.0289046875,-0.03125,-0.0297938671875,-0.0280124609375,-0.02993618327998626,-0.027929187763105906,0.1072,0.1498,991
teacher:il_sft:ALL,holdout,native_grpo,pareto,official_il,native_epsilon_loss,1000,0.005833075589123837,0.0030704201199114323,0.005126603473220121,0.0065605257742087815,0.0050122002540471475,0.006626299917677603,0.858,0.0,530
teacher:il_sft:ALL,holdout,native_grpo,pareto,official_il,nearest_teacher_ADE,5000,0.3244546764224768,0.16110266745090485,0.31059704277925193,0.33853782979346814,0.30278722397018976,0.3476626232397647,0.8112,0.0,991
teacher:il_sft:ALL,holdout,native_grpo,pareto,official_il,Hit64_0p5,5000,-0.0003,0.0,-0.0014,0.0008,-0.0014733299948075423,0.000833060240921908,0.0008,0.9982,991
teacher:il_sft:ALL,holdout,native_grpo,pareto,official_il,Mass64_0p5,5000,-4.6875e-06,0.0,-2.1875e-05,1.25e-05,-2.2755653041320172e-05,1.2366809887446954e-05,0.0008,0.9982,991
teacher:il_sft:ALL,holdout,native_grpo,pareto,official_il,Hit64_1p0,5000,-0.4376,-0.5,-0.452,-0.4229,-0.4573561118576866,-0.4190837427767864,0.0312,0.4638,991
teacher:il_sft:ALL,holdout,native_grpo,pareto,official_il,Mass64_1p0,5000,-0.029,-0.03125,-0.029909453125,-0.0281296484375,-0.03009876005012172,-0.028025399502808305,0.1076,0.1474,991
teacher:il_sft:ALL,holdout,native_grpo,psi,official_il,native_epsilon_loss,1000,0.007243229951276589,0.0037730012118117884,0.0063694715351029114,0.00812734577023607,0.006297139640882921,0.008237934700178026,0.883,0.0,530
teacher:il_sft:ALL,holdout,native_grpo,psi,official_il,nearest_teacher_ADE,5000,0.38968734824955464,0.19292493164539337,0.3743125593265891,0.40588819924466313,0.36261776110081934,0.4191156899854596,0.8252,0.0,991
teacher:il_sft:ALL,holdout,native_grpo,psi,official_il,Hit64_0p5,5000,-0.0006,0.0,-0.0017,0.0003,-0.001659419195391244,0.00031375504152922524,0.0006,0.9984,991
teacher:il_sft:ALL,holdout,native_grpo,psi,official_il,Mass64_0p5,5000,-9.375e-06,0.0,-2.65625e-05,4.6875e-06,-2.527427123992083e-05,4.886738092921558e-06,0.0006,0.9984,991
teacher:il_sft:ALL,holdout,native_grpo,psi,official_il,Hit64_1p0,5000,-0.4746,-0.5,-0.4896,-0.4599,-0.49398646233745075,-0.4549520728754503,0.0312,0.4278,991
teacher:il_sft:ALL,holdout,native_grpo,psi,official_il,Mass64_1p0,5000,-0.0310671875,-0.03125,-0.03197984375,-0.030175,-0.03209935979602777,-0.030134589884203002,0.0966,0.1294,991
teacher:il_sft:ALL,train,eval,psi,il_sft,native_epsilon_loss,512,0.008171038456220359,0.0035568132261687424,0.007116008709501909,0.009249541897987169,0.006134638417502059,0.01040390993010359,0.931640625,0.0,145
teacher:il_sft:ALL,train,eval,psi,il_sft,nearest_teacher_ADE,512,0.76142939048259,0.4947636602446437,0.6857007932427223,0.8413399320943427,0.5964676057328736,0.9328894735039823,0.8984375,0.0,145
teacher:il_sft:ALL,train,eval,psi,il_sft,Hit64_0p5,512,-0.5380859375,-0.5,-0.5791015625,-0.4970703125,-0.5998307291666666,-0.47677931031620185,0.013671875,0.388671875,145
