split,protocol,method,command,mean_PDMS,feasible_rate,hard_failure_rate,pairwise_ADE64,centroid_displacement,Spread_AUC,min_PDMS,max_PDMS,std_PDMS,CVaR25_PDMS,Hit16,Hit8,no_safe_group,EP,NC,DAC,TTC,DDC,Comfort,GT_center_distance,CRN_policy_shift
train,eval,il_sft,left,92.9148870185687,0.8661151960784313,0.0055147058823529415,0.15001014495889345,0.21471991236595547,0.12248239412392471,89.27999742223481,94.5797965471844,1.8536051253799122,90.92428501144235,0.2536764705882353,0.23590686274509803,0.11029411764705882,86.27238325632959,99.97702205882354,99.47150735294117,97.47242647058823,90.13863357843137,100.0,0.2685463381607692,0.2157979539650328
train,eval,il_sft,right,91.97359179539171,0.9742838541666666,0.025716145833333332,0.15003836760297418,0.2425540186231956,0.12410906772129238,87.10607190111885,95.12926915907319,3.2429999895133137,88.44081145469765,0.4244791666666667,0.40234375,0.0,84.33688072560678,100.0,97.42838541666667,100.0,100.0,100.0,0.2706581608140099,0.24388759354284653
train,eval,il_sft,straight,93.03851395171591,0.9718577348066298,0.018732734806629833,0.1410422483613478,0.1963522078016598,0.11945279110325964,89.72563032400444,94.97195856031645,1.965403339411665,90.87522038688991,0.293853591160221,0.2695096685082873,0.010013812154696133,86.5093117002201,99.82842714088397,98.46987223756906,99.2770200276243,99.5759236878453,99.41298342541437,0.2691661237206982,0.19733917220747768
train,eval,official_il,left,92.68083358489575,0.8694852941176471,0.009191176470588236,0.15026848996971168,0.0,0.12302033953806933,88.70327486025053,94.97954681033312,2.209215705180041,90.65553566419425,0.25980392156862747,0.22916666666666666,0.09803921568627451,85.8040986429655,100.0,99.08088235294117,97.91666666666667,90.10416666666667,100.0,0.3385177346214691,0.0
train,eval,official_il,right,89.75834029055552,0.9576822916666666,0.042317708333333336,0.14201528190945586,0.0,0.11770919105038047,85.11376935607119,94.70451621000268,3.4746449756959294,86.72006741568877,0.4010416666666667,0.3229166666666667,0.0,81.34449586399994,100.0,95.76822916666667,100.0,100.0,100.0,0.3638661706649536,0.0
train,eval,official_il,straight,92.8309723706965,0.9681457182320442,0.01907803867403315,0.14542089101153513,0.0,0.12339560418436046,89.99109145226002,94.85165861137536,1.8556497069631925,90.88161662508219,0.30248618784530384,0.2541436464088398,0.011049723756906077,86.51598776122856,99.68059392265194,98.73100828729282,98.62741712707182,99.58347720994475,99.21443370165746,0.34252603930142006,0.0
train,eval,pareto,left,95.87847988484015,0.8579963235294118,0.0072763480392156864,0.29529014090989153,0.981378764699341,0.24438827736851046,91.07473587756111,97.69211907049166,2.38093998639675,93.1214877630475,0.5294117647058824,0.5281862745098039,0.10294117647058823,92.90400123342027,100.0,99.27236519607843,98.22303921568627,89.1314338235294,100.0,1.0296433515769496,0.9870231935352671
train,eval,pareto,right,96.06593208656453,0.9658203125,0.007649739583333333,0.2863106584797303,0.944298555686449,0.23834421035523215,90.28695874330215,98.00471151543645,2.687183337825022,92.93410304509136,0.6354166666666666,0.6302083333333334,0.005208333333333333,92.80107554942153,100.0,99.23502604166667,98.79557291666667,99.25944010416667,100.0,0.983060293694434,0.9518901384435594
train,eval,pareto,straight,95.45712169511015,0.9521106698895028,0.016509841160220994,0.2809124114454945,1.21023764156155,0.2395575816398332,90.76211752040346,98.2741876135072,2.751440360409575,92.5627302593637,0.6222375690607734,0.6163674033149171,0.011049723756906077,94.2297533000868,99.6644078038674,98.83244129834254,96.83615331491713,99.61153314917127,99.609375,1.3037636974805658,1.2144905934882098
train,eval,psi,left,96.49811258911463,0.8543198529411765,0.005284926470588236,0.3043717389889792,1.0569302418506612,0.252008028912778,92.28756405883183,98.08443494476354,2.092113534488705,93.99960185388737,0.5330882352941176,0.5281862745098039,0.10049019607843138,93.61446531191429,99.97702205882354,99.49448529411765,98.69791666666667,88.45741421568627,100.0,1.1010608232935961,1.064164206677792
train,eval,psi,right,95.09241911330247,0.94970703125,0.018391927083333332,0.28965998891120154,1.023649519852673,0.24116104313482842,88.97688311066018,98.18439297135511,3.5475432284975574,91.15489391751659,0.6380208333333334,0.6328125,0.0026041666666666665,92.22896733025925,99.91048177083333,98.16080729166667,98.32356770833333,99.12109375,100.0,1.0724951191292889,1.0317967290369172
train,eval,psi,straight,95.53541236910522,0.9491971685082873,0.01732993784530387,0.278186598010567,1.303669390078243,0.23717587499863865,90.91480794705564,98.37062238692647,2.7837787878340006,92.60958016977257,0.6198204419889503,0.6146408839779005,0.012085635359116022,94.69427364661898,99.59318888121547,98.82596685082873,96.55343577348066,99.62016574585635,99.73023135359117,1.400815653887723,1.3082696749360523
train,eval,score,left,95.99644967282909,0.8608302696078431,0.007199754901960784,0.29466816761037884,0.977754145458925,0.24387902408546092,91.5875768331098,97.78356124339872,2.2849102794535314,93.28006577000681,0.5318627450980392,0.5306372549019608,0.10049019607843138,92.87003313635846,100.0,99.28002450980392,98.52941176470588,89.10845588235294,100.0,1.0249306542557886,0.9834766180126691
train,eval,score,right,96.17693843787596,0.9694010416666666,0.007649739583333333,0.28577155076588195,0.9370825832399229,0.23788575051973262,90.27077717216265,97.97948266601604,2.6186495149390137,93.23249443061377,0.6354166666666666,0.6302083333333334,0.005208333333333333,92.74196995923567,100.0,99.23502604166667,99.12109375,99.27571614583333,100.0,0.9758150260875696,0.9446876606283089
train,eval,score,straight,95.5057697595826,0.9532976519337016,0.01638035220994475,0.2803756109443982,1.2073765156111418,0.23910530930312957,90.88785529228103,98.26078264991733,2.7376059069316057,92.56955103512466,0.6222375690607734,0.6172306629834254,0.011049723756906077,94.22244589780357,99.69354281767956,98.81733425414365,96.96995856353591,99.61153314917127,99.609375,1.3008286294086593,1.2116166972117859
