analysis,split,protocol,left,right,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
final512_seed_average,holdout,eval,psi,official_il,DDC,5000,-0.398515625,0.0,-0.52649609375,-0.27015625,-0.5444314551099912,-0.26359983060281483,0.0034,0.9684,991
final512_seed_average,holdout,eval,psi,official_il,Comfort,5000,0.0046875,0.0,-0.02265625,0.0434375,-0.02283809160577205,0.045055620356601336,0.0006,0.9976,991
final512_seed_average,holdout,eval,psi,official_il,GT_center_distance,5000,1.0321777801296754,0.8166912977979137,1.004489007195405,1.06117211375981,0.9866275371962401,1.079041418060111,0.9032,0.0,991
final512_seed_average,holdout,eval,psi,official_il,CRN_policy_shift,5000,1.299780610062182,1.0892958641052246,1.2729621569201908,1.3269939583238772,1.2507445800436254,1.3536508560880347,1.0,0.0,991
final512_seed_average,holdout,native_grpo,psi,il_sft,mean_PDMS,5000,-1.3343862625808114,-0.10456996153498821,-1.5692925754226377,-1.1019303325787604,-1.62351348907055,-1.046574535402169,0.4884,0.002,991
final512_seed_average,holdout,native_grpo,psi,il_sft,feasible_rate,5000,-0.0519703125,-0.0234375,-0.055012578124999996,-0.049040625,-0.05522589887301074,-0.04853715390634882,0.2626,0.1234,991
final512_seed_average,holdout,native_grpo,psi,il_sft,hard_failure_rate,5000,0.0262296875,0.0,0.0237857421875,0.0287796875,0.023343612160064434,0.02906214893120726,0.4834,0.2426,991
final512_seed_average,holdout,native_grpo,psi,il_sft,pairwise_ADE64,5000,0.07699513630867004,0.06485939025878906,0.07583894691377879,0.07816991078287362,0.07556464228065021,0.07850800858079966,1.0,0.0,991
final512_seed_average,holdout,native_grpo,psi,il_sft,centroid_displacement,5000,1.1289513255164028,0.9377188608050346,1.1026755076076533,1.1559505612014467,1.08048091764376,1.1787146842760823,0.9506,0.0,991
final512_seed_average,holdout,native_grpo,psi,il_sft,Spread_AUC,5000,0.0646384073138237,0.0539318323135376,0.06366790590554476,0.06561465879440308,0.06342935110310985,0.06589217940841813,1.0,0.0,991
final512_seed_average,holdout,native_grpo,psi,il_sft,min_PDMS,5000,-1.9343615275500738,0.0,-2.233166197882971,-1.624199384628252,-2.2627644059066236,-1.6061387139015417,0.2302,0.466,991
final512_seed_average,holdout,native_grpo,psi,il_sft,max_PDMS,5000,1.2408245147539765,0.2588913609194847,1.1137846206734379,1.362486281782696,1.0858968574868142,1.3998271673185199,0.537,0.3966,991
final512_seed_average,holdout,native_grpo,psi,il_sft,std_PDMS,5000,1.55080183310487,0.8804388657018807,1.4131786548071796,1.6850931948665362,1.4010612620267169,1.695007403362296,0.643,0.0006,991
final512_seed_average,holdout,native_grpo,psi,il_sft,CVaR25_PDMS,5000,-2.6289707537192375,0.0,-2.9408904732166987,-2.332427395334477,-2.9732190735531363,-2.2883402414294784,0.3422,0.183,991
final512_seed_average,holdout,native_grpo,psi,il_sft,Hit16,5000,0.06645,0.0,0.061324375,0.071775,0.059854524488876557,0.07316976141314507,0.2258,0.7358,991
final512_seed_average,holdout,native_grpo,psi,il_sft,Hit8,5000,0.124175,0.0,0.11773718749999999,0.1305128125,0.1152456115385596,0.13302556473788182,0.4376,0.4936,991
final512_seed_average,holdout,native_grpo,psi,il_sft,no_safe_group,5000,0.00785,0.0,0.00605,0.00965,0.006019258381537662,0.009750870666707386,0.0328,0.9592,991
final512_seed_average,holdout,native_grpo,psi,il_sft,EP,5000,2.6646315889576595,2.28815148939573,2.3984972484943605,2.925922857082494,2.323183697913988,3.018591549781886,0.634,0.04,991
final512_seed_average,holdout,native_grpo,psi,il_sft,NC,5000,-2.831484375,0.0,-3.048373046875,-2.62296484375,-3.080350053937442,-2.59173981730315,0.109,0.5396,991
final512_seed_average,holdout,native_grpo,psi,il_sft,DAC,5000,-0.06890625,0.0,-0.22719921875,0.08079687500000006,-0.24498886742768156,0.11417295095817628,0.2414,0.4958,991
final512_seed_average,holdout,native_grpo,psi,il_sft,TTC,5000,-5.044375,-0.78125,-5.33862890625,-4.74811328125,-5.384800082313627,-4.704488609700344,0.1766,0.3218,991
final512_seed_average,holdout,native_grpo,psi,il_sft,DDC,5000,-1.1125,0.0,-1.224693359375,-1.001869140625,-1.3086764564470894,-0.9377588731414891,0.0556,0.7056,991
final512_seed_average,holdout,native_grpo,psi,il_sft,Comfort,5000,-2.01921875,-1.5625,-2.14546875,-1.9032773437500001,-2.1865257283128265,-1.8554029396457086,0.2864,0.096,991
final512_seed_average,holdout,native_grpo,psi,il_sft,GT_center_distance,5000,0.9988476180113827,0.7808675689448545,0.9703180723749852,1.0266981458516673,0.9539243971844685,1.0487074507246836,0.8932,0.0,991
final512_seed_average,holdout,native_grpo,psi,il_sft,CRN_policy_shift,5000,1.1465388003813102,0.9468932133167982,1.1196659079182847,1.17492332368962,1.0979829924488005,1.1967550258064699,0.9764,0.0,991
final512_seed_average,holdout,native_grpo,psi,score,mean_PDMS,5000,-0.1921406021891466,-0.0651041666666643,-0.2574002730227799,-0.1248165470131387,-0.26614438735748436,-0.1158971404913289,0.4708,0.0076,991
final512_seed_average,holdout,native_grpo,psi,score,feasible_rate,5000,-0.004925,0.0,-0.0057235546875,-0.004043671874999999,-0.005883460265396597,-0.003963242520733429,0.3218,0.2228,991
final512_seed_average,holdout,native_grpo,psi,score,hard_failure_rate,5000,0.003046875,0.0,0.0023077734375,0.0037845312500000006,0.0022799140552848198,0.0038725143328319626,0.363,0.364,991
final512_seed_average,holdout,native_grpo,psi,score,pairwise_ADE64,5000,0.0016637773752212525,0.005356490612030029,0.0012296620345115662,0.0021044296926259996,0.0009596375008908034,0.0023043742629656233,0.7268,0.0,991
final512_seed_average,holdout,native_grpo,psi,score,centroid_displacement,5000,0.10208180013839155,0.0933651551604271,0.09741864360950887,0.10660039125644136,0.09614780881034674,0.10781068773564309,0.8022,0.0,991
final512_seed_average,holdout,native_grpo,psi,score,Spread_AUC,5000,0.0012966621994972229,0.004599124193191528,0.0009144113257527352,0.0016653388449549677,0.0007306396480630148,0.001849207613912569,0.7246,0.0,991
final512_seed_average,holdout,native_grpo,psi,score,min_PDMS,5000,-0.11925148320589081,0.0,-0.23720105532308744,0.004886803192847308,-0.2400688134016209,0.0011903843749940816,0.221,0.572,991
final512_seed_average,holdout,native_grpo,psi,score,max_PDMS,5000,0.054450113820185456,0.0,0.013083321676896223,0.09753537321028269,0.010564032073456894,0.09794542278954033,0.3552,0.5328,991
final512_seed_average,holdout,native_grpo,psi,score,std_PDMS,5000,0.09797079602858601,0.049503312751333794,0.05134787019095276,0.1449705454009539,0.046029487440380615,0.1514140075685137,0.5446,0.0048,991
final512_seed_average,holdout,native_grpo,psi,score,CVaR25_PDMS,5000,-0.2796588886194553,0.0,-0.3853565898351865,-0.17933423897385048,-0.3934874343248785,-0.1640434107297344,0.357,0.2514,991
final512_seed_average,holdout,native_grpo,psi,score,Hit16,5000,-0.0004,0.0,-0.001525,0.00075,-0.001483393412181197,0.0006755423959492339,0.0272,0.944,991
final512_seed_average,holdout,native_grpo,psi,score,Hit8,5000,0.00055,0.0,-0.000725,0.0018,-0.0007439120426044485,0.001768963487355127,0.101,0.8084,991
final512_seed_average,holdout,native_grpo,psi,score,no_safe_group,5000,0.00185,0.0,0.0011,0.0026756250000000022,0.00111854377417314,0.002597102006311083,0.017,0.9758,991
final512_seed_average,holdout,native_grpo,psi,score,EP,5000,0.06902097326334675,0.0,-0.00043253230209046415,0.14425051684134438,-0.006156338512139291,0.14570992029744234,0.4942,0.059,991
final512_seed_average,holdout,native_grpo,psi,score,NC,5000,-0.46765625,0.0,-0.520546875,-0.41718164062499996,-0.5230741667090197,-0.4113360118871175,0.111,0.6366,991
