split,method,seed,step,protocol,mean_PDMS_mean,mean_PDMS_median,mean_PDMS_count,feasible_rate_mean,feasible_rate_median,feasible_rate_count,hard_failure_rate_mean,hard_failure_rate_median,hard_failure_rate_count,pairwise_ADE64_mean,pairwise_ADE64_median,pairwise_ADE64_count,centroid_displacement_mean,centroid_displacement_median,centroid_displacement_count,Spread_AUC_mean,Spread_AUC_median,Spread_AUC_count,min_PDMS_mean,min_PDMS_median,min_PDMS_count,max_PDMS_mean,max_PDMS_median,max_PDMS_count,std_PDMS_mean,std_PDMS_median,std_PDMS_count,CVaR25_PDMS_mean,CVaR25_PDMS_median,CVaR25_PDMS_count,Hit16_mean,Hit16_median,Hit16_count,Hit8_mean,Hit8_median,Hit8_count,no_safe_group_mean,no_safe_group_median,no_safe_group_count,EP_mean,EP_median,EP_count,NC_mean,NC_median,NC_count,DAC_mean,DAC_median,DAC_count,TTC_mean,TTC_median,TTC_count,DDC_mean,DDC_median,DDC_count,Comfort_mean,Comfort_median,Comfort_count,GT_center_distance_mean,GT_center_distance_median,GT_center_distance_count,CRN_policy_shift_mean,CRN_policy_shift_median,CRN_policy_shift_count
holdout,psi,1701,512,eval,90.61423401612466,98.69791666666667,5000,0.869740625,1.0,5000,0.05161875,0.0,5000,0.2822606375038624,0.2577918618917465,5000,1.2925933892287313,1.0949753522872925,5000,0.23763136367350818,0.21545419096946716,5000,84.46404871211253,97.08393553686992,5000,94.83547020896378,100.0,5000,3.8236598492272633,0.47146158339008515,5000,86.68785393166404,97.50852964710948,5000,0.5796,1.0,5000,0.571375,1.0,5000,0.0748,0.0,5000,90.09812134494192,99.23806257523918,5000,97.64078125,100.0,5000,97.21125,100.0,5000,91.88625,100.0,5000,97.95546875,100.0,5000,99.98125,100.0,5000,1.404725569534087,1.1617584021138319,5000,1.29682431922704,1.097419559955597,5000
holdout,psi,1701,512,native_grpo,67.57581537203242,72.7307646469808,5000,0.635584375,0.671875,5000,0.212053125,0.140625,5000,2.0632776372671127,2.057962656021118,5000,1.3038567072235048,1.107435941696167,5000,1.6539820424556733,1.6492158770561218,5000,20.103509600832886,0.0,5000,97.89461576039447,100.0,5000,28.709487899139273,30.541543097905553,5000,33.202593379297745,27.897962448915017,5000,0.60685,1.0,5000,0.5626,0.875,5000,0.0283,0.0,5000,73.58052124179709,79.0170450909853,5000,92.32078125,100.0,5000,85.7071875,97.65625,5000,78.229375,89.0625,5000,95.798125,100.0,5000,66.86125,68.75,5000,1.4513921237036689,1.2066460031626471,5000,1.322756510937214,1.1242279410362244,5000
holdout,psi,2903,128,eval,89.59541550575851,97.67228063424827,1000,0.862125,1.0,1000,0.058046875,0.0,1000,0.3085730343610048,0.28561024367809296,1000,1.0512057816535234,0.8805075585842133,1000,0.2589272132143378,0.23948225378990173,1000,81.81911968278406,95.3541690110879,1000,94.70004816109116,100.0,1000,4.853674858710968,0.6342953688806154,1000,84.59645416794966,96.02866644082881,1000,0.57675,1.0,1000,0.568125,1.0,1000,0.07575,0.0,1000,89.06334745470475,97.7355197102514,1000,97.3046875,100.0,1000,96.984375,100.0,1000,90.9703125,100.0,1000,98.003125,100.0,1000,99.99375,100.0,1000,1.1706203055472846,0.9698152534876576,1000,1.059788577862084,0.8896833658218384,1000
holdout,psi,2903,128,native_grpo,67.23652752680013,71.82901870783277,1000,0.638484375,0.671875,1000,0.2138125,0.140625,1000,2.077991174697876,2.074350595474243,1000,1.0736573290079832,0.9066353738307953,1000,1.6657433203458787,1.661810040473938,1000,20.161197164269254,0.0,1000,97.89012336265446,100.0,1000,28.747177386522196,30.458033814151243,1000,32.84153529958155,26.581053589582957,1000,0.605,1.0,1000,0.557625,0.75,1000,0.02575,0.0,1000,72.75926297341283,77.83526596652759,1000,92.09765625,100.0,1000,85.5796875,96.875,1000,78.05,89.0625,1000,95.9359375,100.0,1000,67.2328125,68.75,1000,1.2305694290171767,1.0507007331024278,1000,1.103653693974018,0.9316684603691101,1000
holdout,psi,2903,512,eval,90.29207406142692,98.62387946848737,5000,0.86700625,1.0,5000,0.0534625,0.0,5000,0.28881051423847676,0.2625539004802704,5000,1.2975740372531117,1.0659919381141663,5000,0.24355262249261142,0.21990228444337845,5000,84.11338483929916,96.90973906791262,5000,94.6307289162866,100.0,5000,3.845946698240921,0.5127424201696703,5000,86.42621300047313,97.39583333333334,5000,0.57695,1.0,5000,0.567525,1.0,5000,0.0767,0.0,5000,89.81815722281306,99.09239404219213,5000,97.7928125,100.0,5000,96.8653125,100.0,5000,91.8084375,100.0,5000,98.033125,100.0,5000,99.993125,100.0,5000,1.4181692293838013,1.1545054093294325,5000,1.3027369008973242,1.0707790851593018,5000
holdout,psi,2903,512,native_grpo,67.47489920147953,72.61313065399423,5000,0.636925,0.671875,5000,0.212315625,0.125,5000,2.071791022157669,2.065112590789795,5000,1.3133715970236808,1.0874256491661072,5000,1.6613981770515442,1.6559821963310242,5000,20.159217804289774,0.0,5000,97.88785267354761,100.0,5000,28.66475079746723,30.47693393889231,5000,33.23740042639504,28.125000000000004,5000,0.60685,1.0,5000,0.561275,0.75,5000,0.02855,0.0,5000,73.39561997727037,78.64907247053975,5000,92.50828125,100.0,5000,85.5096875,96.875,5000,78.4059375,89.0625,5000,95.8946875,100.0,5000,66.6128125,68.75,5000,1.4699826720845184,1.2071971812196143,5000,1.3371022235929966,1.1056996583938599,5000
holdout,score,1701,128,eval,89.05140313614419,97.13948935312749,1000,0.851234375,1.0,1000,0.059421875,0.0,1000,0.3310565603673458,0.31117722392082214,1000,1.0237248675487935,0.8177289664745331,1000,0.2787568456083536,0.2608262598514557,1000,80.45830688375278,94.70795956170625,1000,95.15574509714608,100.0,1000,5.3217263076033925,0.6917947275225775,1000,83.56250458711268,95.41108043477297,1000,0.58125,1.0,1000,0.572,1.0,1000,0.07225,0.0,1000,88.7036388759222,96.56875917030318,1000,97.47421875,100.0,1000,96.6265625,100.0,1000,90.375,100.0,1000,97.9078125,100.0,1000,100.0,100.0,1000,1.1440975529894544,0.9159002102199698,1000,1.0346233654618264,0.8217994868755341,1000
holdout,score,1701,128,native_grpo,66.95484226890102,72.10301266989399,1000,0.63178125,0.65625,1000,0.215828125,0.140625,1000,2.082770119547844,2.079395055770874,1000,1.042626081429422,0.8371505439281464,1000,1.6701226136684417,1.6665483713150024,1000,20.129682423505468,0.0,1000,97.96922764094309,100.0,1000,28.714820761083608,30.302111649547783,1000,32.965075199151904,27.509218699926148,1000,0.602,1.0,1000,0.5565,0.75,1000,0.02575,0.0,1000,72.50623481119435,77.61254387521402,1000,92.06796875,100.0,1000,85.3875,96.875,1000,77.50625,87.5,1000,95.56796875,100.0,1000,67.428125,68.75,1000,1.1959830369813118,0.9679198556871372,1000,1.0778083760291337,0.8696951270103455,1000
holdout,score,1701,512,eval,90.71645098159661,98.4088245536775,5000,0.875859375,1.0,5000,0.049690625,0.0,5000,0.2829599118754268,0.24911487847566605,5000,1.1960421924624591,1.012752652168274,5000,0.23820033532828092,0.20795784890651703,5000,84.3996069596107,96.67247604016944,5000,94.84051824136763,100.0,5000,3.8365108894132836,0.5042512342001828,5000,86.81133342613262,97.26588314467404,5000,0.5799,1.0,5000,0.57205,1.0,5000,0.0719,0.0,5000,89.8183530768259,98.69801393452775,5000,98.0046875,100.0,5000,97.05125,100.0,5000,92.5034375,100.0,5000,98.07265625,100.0,5000,99.99875,100.0,5000,1.3140249438318148,1.0898119466822807,5000,1.200076279131323,1.015932321548462,5000
holdout,score,1701,512,native_grpo,67.6211587177161,72.86258145827854,5000,0.639053125,0.671875,5000,0.210596875,0.125,5000,2.0614468718051913,2.053500175476074,5000,1.2067030652061104,1.0234914422035217,5000,1.652503513598442,1.6461526155471802,5000,20.09997994564615,0.0,5000,97.8532798772037,100.0,5000,28.70015257175545,30.422799632376133,5000,33.28502374682415,28.6861296503912,5000,0.60765,1.0,5000,0.562225,0.875,5000,0.0267,0.0,5000,73.40935303407787,78.48875042754224,5000,92.81546875,100.0,5000,85.4021875,96.875,5000,78.6728125,89.0625,5000,96.03984375,100.0,5000,67.0828125,68.75,5000,1.3613631701983984,1.1322788113442859,5000,1.223487142445147,1.037380337715149,5000
