scope,model,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
NEW4000,original_grpo_11970,Spread_AUC,4000,1.4516502121780068,1.453122891485691,1.450235210912861,1.4530581232657191,1.4501209313169063,1.4531374200555391,1.0,0.0,944
NEW4000,original_grpo_11970,hard_failure_rate,4000,0.08329296875,0.03125,0.07912890625,0.0874654296875,0.07824328743638266,0.08877389727851198,0.71025,0.28075,944
NEW4000,original_grpo_11970,zero_score_rate,4000,0.0803828125,0.03125,0.07644121093749999,0.08426269531250001,0.07561399891738046,0.0854345921219311,0.69225,0.29875,944
NEW4000,original_grpo_11970,std_PDMS,4000,21.381863147608666,20.556168670232324,21.066920146160733,21.701251210063116,21.020567541015843,21.7303565739606,0.99575,0.00025,944
NEW4000,original_grpo_11970,no_safe_group,4000,-0.0225,0.0,-0.0270015625,-0.018125,-0.02812431632795016,-0.017448645416702525,0.00425,0.96525,944
NEW4000,original_grpo_11970,best_safe_PDMS,3845,1.3899086985765348,0.03191267707275358,1.3183109132516204,1.4602985367246129,1.3148312228901535,1.465865106869429,0.5037711313394018,0.45851755526658,927
NEW4000,original_grpo_11970,Hit16,4000,0.1080625,0.0,0.099125,0.11743906250000001,0.09850817115800341,0.11762474196165369,0.1515,0.83125,944
NEW4000,original_grpo_11970,GT_center_distance,4000,0.0236312887894841,0.02452125429221108,0.02182125925190474,0.025445198625386453,0.021748705549508977,0.025530251878378454,0.668,0.0,944
NEW4000,psi_sft,pairwise_ADE,4000,1.94703659668006,1.9494180623441935,1.9449281431640733,1.9492152990158647,1.944607935855003,1.9495760359984473,1.0,0.0,944
NEW4000,psi_sft,pairwise_ADE64,4000,1.946691405646503,1.948418065905571,1.9444559872695244,1.9488776599821633,1.944365934067203,1.9491174670844145,1.0,0.0,944
NEW4000,psi_sft,centroid_displacement,4000,0.05787311776354909,0.06563018262386322,0.05510848644853104,0.06047973258504644,0.05492134991426448,0.060768815823437655,0.7605,0.0,944
NEW4000,psi_sft,feasible_rate,4000,-0.285765625,-0.28125,-0.29312695312500003,-0.27845283203125004,-0.293954011056333,-0.2774928924949617,0.0465,0.065,944
NEW4000,psi_sft,mean_PDMS,4000,-26.169233974417416,-23.24603218000636,-26.69950013412591,-25.632957385313293,-26.76296181964307,-25.547218900361983,0.02525,0.0005,944
NEW4000,psi_sft,min_PDMS,4000,-68.35817087454285,-79.16666666666666,-69.33728745152523,-67.39200373790277,-69.40376770188277,-67.33494774746892,0.0,0.059,944
NEW4000,psi_sft,max_PDMS,4000,1.6819604812563025,0.0,1.398220086196747,1.9554116875340715,1.3883049480414003,2.010376657630775,0.47425,0.40525,944
NEW4000,psi_sft,CVaR25_PDMS,4000,-58.143037123671355,-60.669972054651026,-59.051050570024294,-57.22627612810124,-59.10750904207987,-57.15447547582178,0.00075,0.0405,944
NEW4000,psi_sft,Spread_AUC,4000,1.5532178854830563,1.5545847341418266,1.551457427000627,1.5549719765494578,1.5511691598134043,1.555251600528785,1.0,0.0,944
NEW4000,psi_sft,hard_failure_rate,4000,0.180265625,0.125,0.174471875,0.18602744140625,0.17333710752678108,0.18718046090308546,0.8005,0.17375,944
NEW4000,psi_sft,zero_score_rate,4000,0.1758046875,0.125,0.1699599609375,0.18161328125,0.16878527812895636,0.18286143286978432,0.78475,0.191,944
NEW4000,psi_sft,std_PDMS,4000,25.936619183447753,27.48676675890664,25.53763234943894,26.313979566859597,25.512978212170562,26.367693966673972,0.97575,0.0005,944
NEW4000,psi_sft,no_safe_group,4000,-0.0169375,0.0,-0.0211890625,-0.0129375,-0.02175886465036264,-0.012330584431847185,0.01125,0.95825,944
NEW4000,psi_sft,best_safe_PDMS,3860,0.6557112802982094,0.0,0.5938671571101629,0.7188184298437698,0.5837103925393857,0.7250694482031604,0.4492227979274611,0.41347150259067356,927
NEW4000,psi_sft,Hit16,4000,0.0206875,0.0,0.0143109375,0.027375,0.014212345021519456,0.027437676290028207,0.079,0.846,944
NEW4000,psi_sft,GT_center_distance,4000,0.09974024769593387,0.10146368862082733,0.09645158403734827,0.10304296753727744,0.09606288411614455,0.10344296501146989,0.83225,0.0,944
OLD1000,official_il,pairwise_ADE,1000,1.8506721152104437,1.8514057081192732,1.84770005987538,1.8537364841790638,1.8475922439357702,1.8536535123762072,1.0,0.0,512
OLD1000,official_il,pairwise_ADE64,1000,1.8512380913197994,1.851687066257,1.8481987030763178,1.8543205214325338,1.8481320502657181,1.8542781054111148,1.0,0.0,512
OLD1000,official_il,centroid_displacement,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,512
OLD1000,official_il,feasible_rate,1000,-0.24865625,-0.21875,-0.262250390625,-0.2339375,-0.26344007804663994,-0.2340430470770629,0.039,0.096,512
OLD1000,official_il,mean_PDMS,1000,-22.948037992916746,-18.50064950361387,-24.012678274899354,-21.860538620017152,-24.109370409745416,-21.812901218369536,0.021,0.002,512
OLD1000,official_il,min_PDMS,1000,-66.88244620600989,-75.57880605565751,-68.71689374455076,-65.01483101717885,-68.7968351863927,-64.9027137335569,0.0,0.035,512
OLD1000,official_il,max_PDMS,1000,2.5409665085550777,0.9435126377213265,2.0715952162659397,3.1029384386150616,2.045840170646179,3.0884881120093786,0.588,0.36,512
OLD1000,official_il,CVaR25_PDMS,1000,-54.27272455024166,-54.6875,-56.16561055401362,-52.38374787166609,-56.242290849823355,-52.39895541550448,0.002,0.022,512
OLD1000,official_il,Spread_AUC,1000,1.4758586359471082,1.4773537553846836,1.473294707134925,1.478402352252323,1.4733745843249835,1.4783994969683876,1.0,0.0,512
OLD1000,official_il,hard_failure_rate,1000,0.1604375,0.09375,0.1488109375,0.17234453125,0.1485009471340371,0.17321297657580426,0.741,0.242,512
OLD1000,official_il,zero_score_rate,1000,0.156328125,0.078125,0.144155859375,0.168376171875,0.1442306200347567,0.16909160517319421,0.721,0.262,512
OLD1000,official_il,std_PDMS,1000,25.331346956509158,26.024697891474514,24.552656242774788,26.12251769750333,24.444162241955542,26.195723217184607,0.987,0.002,512
OLD1000,official_il,no_safe_group,1000,-0.019,0.0,-0.02825,-0.01125,-0.02801762583922106,-0.010946960166261184,0.004,0.968,512
OLD1000,official_il,best_safe_PDMS,963,1.6439211586214466,0.7246842697280869,1.4780056548342135,1.805220406907935,1.4682176259999329,1.8206987936916625,0.5794392523364486,0.3624091381100727,501
OLD1000,official_il,Hit16,1000,0.27075,0.0,0.24475,0.29575,0.24228255133371712,0.2996032800651673,0.409,0.544,512
OLD1000,official_il,GT_center_distance,1000,0.0684958241127236,0.06921311679981121,0.06514791284695767,0.07183760491280003,0.06502563947430111,0.0722291947759396,0.886,0.0,512
OLD1000,original_grpo_11970,pairwise_ADE,1000,1.824799729061313,1.827015595510602,1.8214431693041464,1.828164940416417,1.8213568225574746,1.8281692855960268,1.0,0.0,512
