scope,protocol,model,reference,metric,n,mean_difference,median_difference,ci_low,ci_high,log_cluster_ci_low,log_cluster_ci_high,win_fraction,tie_fraction,log_count
FULL5000,native_grpo,psi_sft,official_il,centroid_displacement,5000,0.487535982118547,0.4572431147098541,0.48075026636190715,0.4942955829936639,0.47686363024585515,0.49877092166442355,1.0,0.0,991
FULL5000,native_grpo,psi_sft,official_il,feasible_rate,5000,-0.062846875,-0.046875,-0.06571875,-0.059915546875,-0.0662087332106653,-0.059613663913221246,0.1996,0.1118,991
FULL5000,native_grpo,psi_sft,official_il,mean_PDMS,5000,-3.228883674914932,-2.475178170705245,-3.4553957055325544,-2.99434255902838,-3.4913569621083687,-2.9596777615158234,0.308,0.002,991
FULL5000,native_grpo,psi_sft,official_il,min_PDMS,5000,-4.770313636282383,0.0,-5.108221811659654,-4.417017194711027,-5.150679054466097,-4.417316947150712,0.1488,0.4762,991
FULL5000,native_grpo,psi_sft,official_il,max_PDMS,5000,0.6650036475723413,0.0,0.5478656719377223,0.784738759564412,0.5332465235114521,0.8026590454653632,0.4856,0.3928,991
FULL5000,native_grpo,psi_sft,official_il,CVaR25_PDMS,5000,-5.66517973508975,-2.6249809253857848,-6.010167760719621,-5.327793917470172,-6.042945629295552,-5.2971802063646365,0.2236,0.1842,991
FULL5000,native_grpo,psi_sft,official_il,Spread_AUC,5000,0.2082011892557144,0.20902949571609497,0.20688843989610672,0.20949458050072192,0.20622097833604056,0.21033174328588328,1.0,0.0,991
FULL5000,native_grpo,psi_sft,official_il,hard_failure_rate,5000,0.03406875,0.015625,0.03141546875,0.036456328125,0.0310857434551548,0.03685905580622769,0.5608,0.2218,991
FULL5000,native_grpo,psi_sft,official_il,zero_score_rate,5000,0.03273125,0.015625,0.03021828125,0.03525,0.02979944845313124,0.03571872511974658,0.5458,0.239,991
FULL5000,native_grpo,psi_sft,official_il,std_PDMS,5000,2.340881284370379,1.7385304785608984,2.1919415548280368,2.4903717718940577,2.1754221098236126,2.5141812135339627,0.6838,0.0006,991
FULL5000,native_grpo,psi_sft,official_il,no_safe_group,5000,0.0043,0.0,0.0027,0.00595,0.002638720341494485,0.006067249088237279,0.0196,0.973,991
FULL5000,native_grpo,psi_sft,official_il,best_safe_PDMS,4926,0.8258004481844582,0.0,0.7635099665943875,0.8877487604476165,0.7448390527911354,0.9070866786008641,0.4817295980511571,0.3926106374340235,980
FULL5000,native_grpo,psi_sft,official_il,Hit16,5000,0.03065,0.0,0.02614875,0.03495125,0.026011199279180938,0.035460197192720457,0.1492,0.7976,991
FULL5000,native_grpo,psi_sft,official_il,GT_center_distance,5000,0.23389432986072944,0.20578205977371775,0.2261630646818981,0.24170793486136224,0.2248242060458037,0.2427547341495011,0.828,0.0,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,pairwise_ADE,5000,0.26088775739073755,0.262415274977684,0.25935324606060983,0.26244601047769184,0.25875105419179684,0.26326463718314996,1.0,0.0,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,pairwise_ADE64,5000,0.2607898711204529,0.26206547021865845,0.25929242715358736,0.2622764195996523,0.25866945722544266,0.26307496690080984,1.0,0.0,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,centroid_displacement,5000,-0.01217050338089466,-0.02374650537967682,-0.01884058495674282,-0.005352277105227112,-0.020661775326798377,-0.003251375791926658,0.4558,0.0,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,feasible_rate,5000,-0.143025,-0.125,-0.146828125,-0.139168671875,-0.14805267448089077,-0.13808028224420757,0.0868,0.0878,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,mean_PDMS,5000,-13.0624643360985,-9.987356064657206,-13.40728948259875,-12.728151979610617,-13.481602100793705,-12.642096941046619,0.046,0.001,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,min_PDMS,5000,-13.99198695068055,-10.179505666293384,-14.486143370680956,-13.480770369789713,-14.536475269886804,-13.44820534158101,0.0716,0.2854,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,max_PDMS,5000,-0.42129522325299906,0.0,-0.5428059970016057,-0.3147680708969105,-0.5540991976533954,-0.2958835838946112,0.2346,0.4444,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,CVaR25_PDMS,5000,-20.043852176841508,-16.296368320519747,-20.557388487592732,-19.532045469155662,-20.640917755802167,-19.432234503201528,0.0616,0.0666,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,Spread_AUC,5000,0.20832959992885589,0.20954859256744385,0.2070520942056179,0.20958088983953,0.2066238031208243,0.21012007461063767,1.0,0.0,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,hard_failure_rate,5000,0.12344375,0.078125,0.11953421875,0.127334453125,0.11853893510214426,0.12865981660718495,0.762,0.1904,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,zero_score_rate,5000,0.12025,0.078125,0.116512265625,0.12415960937500001,0.11527340143318983,0.12551344925466595,0.7464,0.206,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,std_PDMS,5000,7.398654342651438,6.356818262600939,7.172118837062674,7.642632529653584,7.1165342334429225,7.681665416552285,0.8526,0.0004,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,no_safe_group,5000,0.0035,0.0,0.00175,0.0053,0.0016997717326437238,0.005236794909723485,0.0178,0.9754,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,best_safe_PDMS,4921,-0.174083865402001,0.0,-0.22667173503765428,-0.12500038896140836,-0.2305689656019426,-0.1211269260888395,0.23816297500508027,0.44076407234301973,980
FULL5000,native_grpo,psi_sft,original_grpo_11970,Hit16,5000,-0.0145,0.0,-0.01855,-0.0106,-0.018254147556611738,-0.01056431337953815,0.0458,0.8684,991
FULL5000,native_grpo,psi_sft,original_grpo_11970,GT_center_distance,5000,0.007571741579153166,-0.00491802460911428,-0.00036394703970095486,0.015570995876568612,-0.001284368554825336,0.016413273426670864,0.49,0.0,991
NEW4000,eval,original_grpo_11970,official_il,pairwise_ADE,4000,0.026197429080028086,0.025678619742393494,0.02564890686525614,0.02674453676083358,0.025498407743087412,0.026933944948929107,0.95,0.0,944
NEW4000,eval,original_grpo_11970,official_il,pairwise_ADE64,4000,0.02616319799423218,0.0256296768784523,0.02562410374309402,0.026692988565610722,0.025469017223182205,0.026898451226830267,0.95025,0.0,944
NEW4000,eval,original_grpo_11970,official_il,centroid_displacement,4000,0.5019809007998556,0.4676882326602936,0.4953950954115484,0.5085727980386466,0.4931415025377365,0.5113410648635294,1.0,0.0,944
NEW4000,eval,original_grpo_11970,official_il,feasible_rate,4000,0.01739453125,0.0,0.011073828125,0.024222851562499998,0.00977439275578069,0.024503723947791045,0.08825,0.8765,944
NEW4000,eval,original_grpo_11970,official_il,mean_PDMS,4000,3.5097198663424245,0.5233264591641884,3.074289766696267,3.9643868348531774,3.065964442181347,3.9582393682889685,0.56775,0.30275,944
NEW4000,eval,original_grpo_11970,official_il,min_PDMS,4000,6.003386752968499,0.6876107630597161,5.354829175229135,6.6416258906899195,5.342516095912197,6.701332766150376,0.57575,0.31075,944
NEW4000,eval,original_grpo_11970,official_il,max_PDMS,4000,1.9721286004729375,0.0,1.6247008929855113,2.3177491070776104,1.5852458553339275,2.3545699592297957,0.48525,0.3785,944
NEW4000,eval,original_grpo_11970,official_il,CVaR25_PDMS,4000,5.12485391933672,0.6368154017806162,4.553841132647118,5.7098175508055045,4.529056965085018,5.72151012266562,0.57375,0.307,944
NEW4000,eval,original_grpo_11970,official_il,Spread_AUC,4000,0.021970664459746332,0.021549206227064133,0.021517541177687234,0.022425063125393354,0.02135073875938707,0.022589882574709473,0.9475,0.0,944
