scope,membership,model,protocol,kind,scenes,teachers,nearest_ADE,hit64_0p25,hit16_0p25,mass64_0p25,hit64_0p5,hit16_0p5,mass64_0p5,hit64_1p0,hit16_1p0,mass64_1p0,weighted_nearest_ADE,weighted_hit64_0p25,weighted_hit16_0p25,weighted_mass64_0p25,weighted_hit64_0p5,weighted_hit16_0p5,weighted_mass64_0p5,weighted_hit64_1p0,weighted_hit16_1p0,weighted_mass64_1p0
NEW4000,PSI_TRAIN,original_grpo_11970,native_grpo,GT,1351,1351,0.892665322448129,0.0,0.0,0.0,0.0007401924500370096,0.0001850481125092524,1.1565507031828275e-05,0.850481125092524,0.4319022945965951,0.03676674685418209,0.892665322448129,0.0,0.0,0.0,0.0007401924500370096,0.0001850481125092524,1.1565507031828275e-05,0.850481125092524,0.4319022945965951,0.03676674685418209
NEW4000,PSI_TRAIN,original_grpo_11970,native_grpo,NON_GT,2910,3632,1.1980910355282812,0.0,0.0,0.0,0.0,0.0,0.0,0.2084765177548683,0.07822164948453608,0.00574080040091638,1.1924458139335987,0.0,0.0,0.0,0.0,0.0,0.0,0.21524054965202752,0.08114690707157977,0.005967031775804115
NEW4000,PSI_TRAIN,psi_sft,eval,ALL,3276,4983,0.8988821168472224,0.18737281237281234,0.1528032153032153,0.05035835113960113,0.29502442002442003,0.277765059015059,0.1920652408933659,0.5279812779812779,0.4977106227106227,0.4009637642450143,0.8367033526756242,0.22347374673436995,0.18219245866314032,0.06082732312327822,0.344948105486758,0.32540445402264595,0.22617831196842353,0.5820360179440152,0.5528655342680376,0.45509839258074275
NEW4000,PSI_TRAIN,psi_sft,eval,GT,1351,1351,0.2797466474195748,0.616580310880829,0.506661732050333,0.17541404515173945,0.8904515173945226,0.850481125092524,0.6137467616580311,0.9807549962990377,0.9768689859363434,0.9351175055514434,0.2797466474195748,0.616580310880829,0.506661732050333,0.17541404515173945,0.8904515173945226,0.850481125092524,0.6137467616580311,0.9807549962990377,0.9768689859363434,0.9351175055514434
NEW4000,PSI_TRAIN,psi_sft,eval,NON_GT,2910,3632,1.107576348806677,0.04266895761741122,0.0325028636884307,0.00770332187857961,0.10332187857961053,0.09355670103092784,0.054144294100801835,0.3671821305841924,0.3306701030927835,0.22111880727376865,1.0952439053489784,0.04472508581028771,0.03411512019503157,0.008079896887757934,0.10780068705581718,0.09768900322852675,0.05639739034879838,0.38159793788419966,0.34487542886146155,0.23195527222958037
NEW4000,PSI_TRAIN,psi_sft,native_grpo,ALL,3276,4983,1.1696744766245541,0.0,0.0,0.0,0.00010175010175010175,2.5437525437525436e-05,1.5898453398453398e-06,0.27045177045177043,0.09797262922262924,0.007012807794057795,1.1476890308479977,0.0,0.0,0.0,0.00021367521003634647,5.341880250908662e-05,3.3386751568179136e-06,0.3037698400526402,0.1113782043958831,0.008003281386767007
NEW4000,PSI_TRAIN,psi_sft,native_grpo,GT,1351,1351,0.9605589006937141,0.0,0.0,0.0,0.0007401924500370096,0.0001850481125092524,1.1565507031828275e-05,0.6365655070318282,0.24870466321243523,0.018273501110288675,0.9605589006937141,0.0,0.0,0.0,0.0007401924500370096,0.0001850481125092524,1.1565507031828275e-05,0.6365655070318282,0.24870466321243523,0.018273501110288675
NEW4000,PSI_TRAIN,psi_sft,native_grpo,NON_GT,2910,3632,1.2403482007406832,0.0,0.0,0.0,0.0,0.0,0.0,0.14547537227949597,0.04676403207331042,0.003195697308132875,1.2351305295921273,0.0,0.0,0.0,0.0,0.0,0.0,0.15034364245806364,0.048505154549051396,0.0033201782581719643
NEW4000,PSI_VALIDATION,official_il,eval,ALL,724,724,0.4672140617589904,0.393646408839779,0.3446132596685083,0.18380956491712708,0.6781767955801105,0.6332872928176796,0.48111619475138123,0.9060773480662984,0.8912292817679558,0.8326786947513812,0.4672140617589904,0.393646408839779,0.3446132596685083,0.18380956491712708,0.6781767955801105,0.6332872928176796,0.48111619475138123,0.9060773480662984,0.8912292817679558,0.8326786947513812
NEW4000,PSI_VALIDATION,official_il,eval,GT,724,724,0.4672140617589904,0.393646408839779,0.3446132596685083,0.18380956491712708,0.6781767955801105,0.6332872928176796,0.48111619475138123,0.9060773480662984,0.8912292817679558,0.8326786947513812,0.4672140617589904,0.393646408839779,0.3446132596685083,0.18380956491712708,0.6781767955801105,0.6332872928176796,0.48111619475138123,0.9060773480662984,0.8912292817679558,0.8326786947513812
NEW4000,PSI_VALIDATION,official_il,native_grpo,ALL,724,724,0.9633153360851562,0.0,0.0,0.0,0.0027624309392265192,0.0006906077348066298,4.316298342541436e-05,0.7320441988950276,0.38363259668508287,0.03325707872928177,0.9633153360851562,0.0,0.0,0.0,0.0027624309392265192,0.0006906077348066298,4.316298342541436e-05,0.7320441988950276,0.38363259668508287,0.03325707872928177
NEW4000,PSI_VALIDATION,official_il,native_grpo,GT,724,724,0.9633153360851562,0.0,0.0,0.0,0.0027624309392265192,0.0006906077348066298,4.316298342541436e-05,0.7320441988950276,0.38363259668508287,0.03325707872928177,0.9633153360851562,0.0,0.0,0.0,0.0027624309392265192,0.0006906077348066298,4.316298342541436e-05,0.7320441988950276,0.38363259668508287,0.03325707872928177
NEW4000,PSI_VALIDATION,original_grpo_11970,eval,ALL,724,724,0.6983538719707102,0.08701657458563536,0.07216850828729282,0.02479713397790055,0.3812154696132597,0.3383977900552486,0.2082613950276243,0.8218232044198895,0.801450276243094,0.6973843232044199,0.6983538719707102,0.08701657458563536,0.07216850828729282,0.02479713397790055,0.3812154696132597,0.3383977900552486,0.2082613950276243,0.8218232044198895,0.801450276243094,0.6973843232044199
NEW4000,PSI_VALIDATION,original_grpo_11970,eval,GT,724,724,0.6983538719707102,0.08701657458563536,0.07216850828729282,0.02479713397790055,0.3812154696132597,0.3383977900552486,0.2082613950276243,0.8218232044198895,0.801450276243094,0.6973843232044199,0.6983538719707102,0.08701657458563536,0.07216850828729282,0.02479713397790055,0.3812154696132597,0.3383977900552486,0.2082613950276243,0.8218232044198895,0.801450276243094,0.6973843232044199
NEW4000,PSI_VALIDATION,original_grpo_11970,native_grpo,ALL,724,724,1.007691829985018,0.0,0.0,0.0,0.0013812154696132596,0.0003453038674033149,2.158149171270718e-05,0.6187845303867403,0.26588397790055246,0.02175414364640884,1.007691829985018,0.0,0.0,0.0,0.0013812154696132596,0.0003453038674033149,2.158149171270718e-05,0.6187845303867403,0.26588397790055246,0.02175414364640884
NEW4000,PSI_VALIDATION,original_grpo_11970,native_grpo,GT,724,724,1.007691829985018,0.0,0.0,0.0,0.0013812154696132596,0.0003453038674033149,2.158149171270718e-05,0.6187845303867403,0.26588397790055246,0.02175414364640884,1.007691829985018,0.0,0.0,0.0,0.0013812154696132596,0.0003453038674033149,2.158149171270718e-05,0.6187845303867403,0.26588397790055246,0.02175414364640884
NEW4000,PSI_VALIDATION,psi_sft,eval,ALL,724,724,0.5415077832172424,0.292817679558011,0.21132596685082872,0.05565866712707182,0.606353591160221,0.5279696132596685,0.2836887085635359,0.8812154696132597,0.8549723756906077,0.7271452002762431,0.5415077832172424,0.292817679558011,0.21132596685082872,0.05565866712707182,0.606353591160221,0.5279696132596685,0.2836887085635359,0.8812154696132597,0.8549723756906077,0.7271452002762431
NEW4000,PSI_VALIDATION,psi_sft,eval,GT,724,724,0.5415077832172424,0.292817679558011,0.21132596685082872,0.05565866712707182,0.606353591160221,0.5279696132596685,0.2836887085635359,0.8812154696132597,0.8549723756906077,0.7271452002762431,0.5415077832172424,0.292817679558011,0.21132596685082872,0.05565866712707182,0.606353591160221,0.5279696132596685,0.2836887085635359,0.8812154696132597,0.8549723756906077,0.7271452002762431
