checkpoint,n_rollouts,repeat,pairwise_ADE,spread_auc,hit8_1
apr_9145,64,50,0.18307284,0.15275602,0.47975
apr_9145,64,51,0.18307284,0.15275602,0.4795
apr_9145,64,52,0.18307284,0.15275602,0.479875
apr_9145,64,53,0.18307284,0.15275602,0.48
apr_9145,64,54,0.18307284,0.15275602,0.479625
apr_9145,64,55,0.18307284,0.15275602,0.4795
apr_9145,64,56,0.18307284,0.15275602,0.479625
apr_9145,64,57,0.18307284,0.15275602,0.47925
apr_9145,64,58,0.18307284,0.15275602,0.479375
apr_9145,64,59,0.18307284,0.15275602,0.479875
apr_9145,64,60,0.18307284,0.15275602,0.479
apr_9145,64,61,0.18307284,0.15275602,0.479625
apr_9145,64,62,0.18307284,0.15275602,0.48025
apr_9145,64,63,0.18307284,0.15275602,0.480125
apr_9145,64,64,0.18307284,0.15275602,0.479875
apr_9145,64,65,0.18307284,0.15275602,0.48
apr_9145,64,66,0.18307284,0.15275602,0.47975
apr_9145,64,67,0.18307284,0.15275602,0.48
apr_9145,64,68,0.18307284,0.15275602,0.479625
apr_9145,64,69,0.18307284,0.15275602,0.478875
apr_9145,64,70,0.18307284,0.15275602,0.47975
apr_9145,64,71,0.18307284,0.15275602,0.479875
apr_9145,64,72,0.18307284,0.15275602,0.4805
apr_9145,64,73,0.18307284,0.15275602,0.47925
apr_9145,64,74,0.18307284,0.15275602,0.480125
apr_9145,64,75,0.18307284,0.15275602,0.4795
apr_9145,64,76,0.18307284,0.15275602,0.479875
apr_9145,64,77,0.18307284,0.15275602,0.478875
apr_9145,64,78,0.18307284,0.15275602,0.479125
apr_9145,64,79,0.18307284,0.15275602,0.480375
apr_9145,64,80,0.18307284,0.15275602,0.480125
apr_9145,64,81,0.18307284,0.15275602,0.481
apr_9145,64,82,0.18307284,0.15275602,0.47975
apr_9145,64,83,0.18307284,0.15275602,0.4795
apr_9145,64,84,0.18307284,0.15275602,0.48
apr_9145,64,85,0.18307284,0.15275602,0.47975
apr_9145,64,86,0.18307284,0.15275602,0.47975
apr_9145,64,87,0.18307284,0.15275602,0.479625
apr_9145,64,88,0.18307284,0.15275602,0.479625
apr_9145,64,89,0.18307284,0.15275602,0.48025
apr_9145,64,90,0.18307284,0.15275602,0.480375
apr_9145,64,91,0.18307284,0.15275602,0.47925
apr_9145,64,92,0.18307284,0.15275602,0.480125
apr_9145,64,93,0.18307284,0.15275602,0.48
apr_9145,64,94,0.18307284,0.15275602,0.479875
apr_9145,64,95,0.18307284,0.15275602,0.4795
apr_9145,64,96,0.18307284,0.15275602,0.480625
apr_9145,64,97,0.18307284,0.15275602,0.479875
apr_9145,64,98,0.18307284,0.15275602,0.47975
apr_9145,64,99,0.18307284,0.15275602,0.4795
grpo_9041,16,0,0.17094028,0.14294788,0.4735
grpo_9041,16,1,0.1708545,0.14300752,0.473
grpo_9041,16,2,0.17064546,0.14270273,0.4695
grpo_9041,16,3,0.1703483,0.14245106,0.472
grpo_9041,16,4,0.17094152,0.14301702,0.466
grpo_9041,16,5,0.17074665,0.14292769,0.4705
grpo_9041,16,6,0.17138793,0.14335582,0.4685
